model_task,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10
1,93.3616,,,,,,,,,
2,86.7232,88.4080,,,,,,,,
3,82.4859,83.9258,81.7114,,,,,,,
4,79.5198,80.5255,78.6913,83.0743,,,,,,
5,77.2599,79.1345,75.3356,80.1382,79.8521,,,,,
6,75.8475,77.2798,74.1611,78.2383,76.8946,76.9345,,,,
7,73.3051,74.9614,72.9866,77.3748,75.2310,75.1488,80.2920,,,
8,70.6215,74.1886,71.4765,75.9931,73.7523,73.0655,78.2847,78.8301,,
9,69.7740,73.4158,69.7987,75.8204,72.4584,72.4702,77.9197,77.1588,74.2915,
10,68.5028,72.1793,68.7919,75.1295,70.9797,71.4286,77.0073,76.3231,72.8745,78.2383
