model_task,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10
1,93.3616,,,,,,,,,
2,91.1017,90.8810,,,,,,,,
3,91.3842,89.7991,86.5772,,,,,,,
4,91.1017,89.0263,85.7383,89.4646,,,,,,
5,89.9718,89.1808,85.5705,88.7737,87.8004,,,,,
6,90.2542,89.1808,85.0671,88.7737,87.2458,87.2024,,,,
7,89.9718,88.2535,84.8993,88.9465,86.6913,87.0536,88.3212,,,
8,89.8305,88.0989,85.2349,89.1192,86.6913,86.4583,88.1387,89.8329,,
9,90.1130,87.4807,84.7315,89.1192,86.8762,86.9048,88.1387,88.7187,87.0445,
10,89.6893,87.9444,84.7315,88.7737,87.0610,86.6071,88.1387,89.1365,87.2470,89.8100
