model_task,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11,task12,task13,task14,task15,task16,task17,task18,task19,task20
1,99.2000,,,,,,,,,,,,,,,,,,,
2,98.8000,98.4000,,,,,,,,,,,,,,,,,,
3,98.6000,95.8000,98.0000,,,,,,,,,,,,,,,,,
4,98.6000,94.6000,97.4000,96.0000,,,,,,,,,,,,,,,,
5,98.2000,94.6000,95.6000,95.4000,98.2000,,,,,,,,,,,,,,,
6,98.4000,90.8000,93.6000,94.8000,98.2000,97.2000,,,,,,,,,,,,,,
7,97.8000,90.6000,93.6000,92.6000,97.4000,96.8000,90.0000,,,,,,,,,,,,,
8,97.4000,89.2000,92.8000,92.4000,97.0000,96.8000,89.0000,96.0000,,,,,,,,,,,,
9,95.8000,88.4000,90.8000,92.0000,97.0000,95.8000,89.4000,95.4000,92.6000,,,,,,,,,,,
10,96.0000,87.4000,89.6000,91.4000,97.0000,93.8000,89.6000,92.0000,92.6000,92.6000,,,,,,,,,,
11,94.0000,87.2000,89.6000,91.4000,97.0000,92.6000,89.0000,91.6000,91.4000,91.8000,87.2000,,,,,,,,,
12,94.0000,86.0000,89.0000,91.0000,97.0000,92.4000,89.0000,91.4000,91.4000,91.8000,87.0000,92.4000,,,,,,,,
13,94.0000,86.0000,87.4000,90.4000,97.0000,92.2000,88.8000,90.6000,91.4000,91.6000,87.0000,89.4000,90.8000,,,,,,,
14,92.8000,85.8000,86.8000,90.4000,96.8000,92.0000,88.6000,90.4000,91.4000,91.4000,87.0000,89.4000,89.8000,95.8000,,,,,,
15,92.8000,85.6000,85.6000,90.0000,96.8000,92.0000,88.6000,89.6000,91.0000,91.2000,86.8000,88.6000,86.6000,95.0000,86.0000,,,,,
16,92.6000,84.6000,85.6000,90.0000,96.8000,91.8000,88.6000,89.6000,90.8000,89.2000,83.4000,87.8000,86.4000,94.6000,85.0000,79.6000,,,,
17,92.4000,83.4000,84.4000,90.0000,96.6000,91.0000,88.4000,89.4000,90.8000,87.2000,83.2000,87.8000,84.4000,94.6000,85.0000,79.6000,91.8000,,,
18,92.4000,82.2000,82.8000,90.0000,96.6000,90.8000,88.4000,89.4000,90.8000,87.2000,83.2000,87.0000,84.4000,94.6000,84.8000,78.6000,91.8000,88.2000,,
19,91.6000,81.8000,82.8000,89.8000,95.6000,90.6000,88.4000,89.4000,89.8000,87.2000,82.6000,87.0000,84.4000,94.6000,84.8000,78.0000,91.8000,87.2000,95.8000,
20,91.2000,81.8000,82.6000,89.8000,95.6000,90.4000,88.4000,88.8000,89.4000,87.0000,81.8000,87.0000,84.2000,94.6000,84.8000,77.8000,91.8000,86.6000,95.0000,84.2000
