model_task,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11,task12,task13,task14,task15,task16,task17,task18,task19,task20
1,99.2000,,,,,,,,,,,,,,,,,,,
2,99.4000,99.2000,,,,,,,,,,,,,,,,,,
3,99.4000,99.2000,99.2000,,,,,,,,,,,,,,,,,
4,99.4000,99.0000,99.0000,97.4000,,,,,,,,,,,,,,,,
5,99.4000,99.2000,99.0000,97.2000,99.6000,,,,,,,,,,,,,,,
6,99.4000,99.2000,99.0000,97.4000,99.6000,99.6000,,,,,,,,,,,,,,
7,99.2000,99.2000,99.4000,97.2000,99.6000,99.6000,96.6000,,,,,,,,,,,,,
8,99.4000,99.2000,99.0000,97.2000,99.6000,99.6000,96.0000,99.4000,,,,,,,,,,,,
9,99.4000,99.2000,99.2000,97.2000,99.6000,99.6000,96.2000,99.4000,99.8000,,,,,,,,,,,
10,99.4000,99.2000,99.2000,97.2000,99.6000,99.6000,96.6000,99.4000,100.0000,99.8000,,,,,,,,,,
11,99.4000,99.2000,99.2000,97.2000,99.6000,99.6000,96.6000,99.4000,100.0000,99.8000,98.0000,,,,,,,,,
12,99.4000,99.2000,99.2000,97.2000,99.6000,99.6000,96.6000,99.4000,100.0000,99.8000,98.0000,97.6000,,,,,,,,
13,99.4000,99.2000,99.2000,97.2000,99.6000,99.6000,96.6000,99.4000,100.0000,99.8000,98.0000,97.6000,99.0000,,,,,,,
14,99.4000,99.2000,99.2000,97.2000,99.6000,99.6000,96.6000,99.4000,100.0000,99.8000,98.0000,97.6000,99.0000,100.0000,,,,,,
15,99.4000,99.2000,99.2000,97.2000,99.6000,99.6000,96.6000,99.4000,100.0000,99.8000,98.0000,97.6000,99.0000,100.0000,99.4000,,,,,
16,99.4000,99.2000,99.2000,97.2000,99.6000,99.6000,96.6000,99.4000,100.0000,99.8000,98.0000,97.6000,99.0000,100.0000,99.4000,98.8000,,,,
17,99.4000,99.2000,99.2000,97.2000,99.6000,99.6000,96.6000,99.4000,100.0000,99.8000,98.0000,97.6000,99.0000,100.0000,99.4000,98.8000,99.4000,,,
18,99.4000,99.2000,99.2000,97.2000,99.6000,99.6000,96.6000,99.4000,100.0000,99.8000,98.0000,97.6000,99.0000,100.0000,99.4000,98.8000,99.4000,94.8000,,
19,99.4000,99.2000,99.2000,97.2000,99.6000,99.6000,96.6000,99.4000,100.0000,99.8000,98.0000,97.6000,99.0000,100.0000,99.4000,98.8000,99.4000,94.8000,99.4000,
20,99.4000,99.2000,99.2000,97.2000,99.6000,99.6000,96.6000,99.4000,100.0000,99.8000,98.0000,97.6000,99.0000,100.0000,99.4000,98.8000,99.4000,94.8000,99.4000,97.0000
