task,baseline,oracle,geometry,A_tid,oracle_rec%,geometry_rec%,union1_acc,union1_cov%,union1_rec%,union2_acc,union2_cov%,union2_rec%,union3_acc,union3_cov%,union3_rec%,union4_acc,union4_cov%,union4_rec%,union5_acc,union5_cov%,union5_rec%
1,93.20,91.40,92.80,99.40,-29.0,-6.5,93.20,93.6,0.0,93.20,98.0,0.0,93.20,99.0,0.0,93.20,99.4,0.0,93.20,99.6,0.0
2,87.00,87.80,86.60,99.20,6.6,-3.3,87.00,87.0,0.0,87.00,93.4,0.0,87.00,96.4,0.0,87.00,97.4,0.0,87.00,98.4,0.0
3,84.40,85.80,84.00,99.20,9.5,-2.7,84.40,84.6,0.0,84.40,93.6,0.0,84.40,96.0,0.0,84.40,97.4,0.0,84.40,98.0,0.0
4,91.20,90.80,91.00,97.20,-6.7,-3.3,91.20,91.6,0.0,91.20,95.6,0.0,91.20,96.0,0.0,91.20,96.8,0.0,91.20,97.8,0.0
5,95.80,95.60,96.00,99.60,-5.3,5.3,95.80,95.8,0.0,95.80,98.2,0.0,95.80,98.8,0.0,95.80,99.0,0.0,95.80,99.2,0.0
6,90.80,90.40,92.00,99.60,-4.5,13.6,90.80,90.8,0.0,90.80,96.4,0.0,90.80,97.8,0.0,90.80,98.4,0.0,90.80,98.6,0.0
7,87.20,88.40,87.00,96.60,12.8,-2.1,87.20,90.4,0.0,87.20,96.2,0.0,87.20,97.6,0.0,87.20,98.6,0.0,87.20,99.0,0.0
8,88.40,89.40,89.00,99.40,9.1,5.5,88.40,88.4,0.0,88.40,94.2,0.0,88.40,96.6,0.0,88.40,98.6,0.0,88.40,99.0,0.0
9,88.40,90.00,88.00,100.00,13.8,-3.4,88.40,88.4,0.0,88.40,93.4,0.0,88.40,95.8,0.0,88.40,97.2,0.0,88.40,97.8,0.0
10,86.20,85.00,85.40,99.80,-8.8,-5.9,86.20,86.2,0.0,86.20,95.8,0.0,86.20,97.0,0.0,86.20,98.6,0.0,86.20,99.0,0.0
11,80.60,82.20,79.00,98.00,9.2,-9.2,80.60,81.0,0.0,80.60,91.6,0.0,80.60,95.0,0.0,80.60,96.4,0.0,80.60,97.2,0.0
12,87.20,87.60,88.60,97.60,3.8,13.5,87.20,87.6,0.0,87.20,92.6,0.0,87.20,96.0,0.0,87.20,96.6,0.0,87.20,97.4,0.0
13,83.60,84.40,82.40,99.00,5.2,-7.8,83.60,84.0,0.0,83.60,95.0,0.0,83.60,98.2,0.0,83.60,98.8,0.0,83.60,99.2,0.0
14,93.60,94.40,93.80,100.00,12.5,3.1,93.60,93.6,0.0,93.60,97.0,0.0,93.60,98.0,0.0,93.60,98.0,0.0,93.60,98.8,0.0
15,84.00,84.80,81.80,99.40,5.2,-14.3,84.00,84.0,0.0,84.00,91.6,0.0,84.00,95.8,0.0,84.00,97.6,0.0,84.00,98.6,0.0
16,77.20,78.80,76.40,98.80,7.4,-3.7,77.20,77.4,0.0,77.20,88.4,0.0,77.20,95.8,0.0,77.20,98.0,0.0,77.20,98.6,0.0
17,91.40,89.80,90.40,99.40,-20.0,-12.5,91.40,91.4,0.0,91.40,96.2,0.0,91.40,98.2,0.0,91.40,98.8,0.0,91.40,99.0,0.0
18,85.40,86.20,84.80,94.80,8.5,-6.4,85.40,87.2,0.0,85.40,93.2,0.0,85.40,96.4,0.0,85.40,97.2,0.0,85.40,98.0,0.0
19,94.60,94.00,95.60,99.40,-12.5,20.8,94.60,94.6,0.0,94.60,97.8,0.0,94.60,99.0,0.0,94.60,99.2,0.0,94.60,99.2,0.0
20,83.60,85.60,84.00,97.00,14.9,3.0,83.60,85.2,0.0,83.60,90.8,0.0,83.60,93.0,0.0,83.60,95.8,0.0,83.60,96.6,0.0
