task,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0.000000,0.969542,0.971796,0.968754,0.975435,0.979646,0.972728,0.977556,0.974367,0.980914,0.975656,0.968894,0.978351,0.978666,0.971228,0.977966,0.976062,0.966871,0.975514,0.973508
2,0.969542,0.000000,0.965448,0.962677,0.967827,0.970921,0.964050,0.963601,0.963629,0.965885,0.962400,0.960432,0.966650,0.967534,0.962449,0.965640,0.970068,0.961406,0.964032,0.961929
3,0.971796,0.965448,0.000000,0.965785,0.971502,0.973521,0.964650,0.968624,0.968971,0.971856,0.967074,0.963974,0.969660,0.971535,0.965417,0.969351,0.970687,0.964074,0.967233,0.965105
4,0.968754,0.962677,0.965785,0.000000,0.963871,0.968323,0.964550,0.968137,0.965171,0.964370,0.959605,0.964971,0.968216,0.969241,0.965188,0.963033,0.964947,0.959727,0.963840,0.961927
5,0.975435,0.967827,0.971502,0.963871,0.000000,0.973403,0.972010,0.969796,0.971333,0.971883,0.968965,0.962983,0.971574,0.970390,0.967463,0.969992,0.973149,0.961439,0.971087,0.966505
6,0.979646,0.970921,0.973521,0.968323,0.973403,0.000000,0.969910,0.977011,0.969947,0.978955,0.972674,0.966489,0.973832,0.976008,0.967188,0.973584,0.976342,0.964289,0.970257,0.972255
7,0.972728,0.964050,0.964650,0.964550,0.972010,0.969910,0.000000,0.966726,0.965816,0.965580,0.967443,0.961471,0.969192,0.966780,0.964724,0.965954,0.969474,0.960216,0.966337,0.963630
8,0.977556,0.963601,0.968624,0.968137,0.969796,0.977011,0.966726,0.000000,0.969491,0.977483,0.970282,0.962321,0.974191,0.973999,0.969822,0.972921,0.971584,0.960203,0.969074,0.971426
9,0.974367,0.963629,0.968971,0.965171,0.971333,0.969947,0.965816,0.969491,0.000000,0.970535,0.970367,0.960971,0.970496,0.970528,0.967648,0.970258,0.970676,0.962425,0.970567,0.965900
10,0.980914,0.965885,0.971856,0.964370,0.971883,0.978955,0.965580,0.977483,0.970535,0.000000,0.972762,0.962530,0.972571,0.972992,0.967626,0.977819,0.975678,0.961414,0.969387,0.969923
11,0.975656,0.962400,0.967074,0.959605,0.968965,0.972674,0.967443,0.970282,0.970367,0.972762,0.000000,0.958390,0.969868,0.967957,0.966399,0.976730,0.969621,0.958878,0.967709,0.966774
12,0.968894,0.960432,0.963974,0.964971,0.962983,0.966489,0.961471,0.962321,0.960971,0.962530,0.958390,0.000000,0.969072,0.967088,0.966107,0.965073,0.963019,0.962823,0.962365,0.959665
13,0.978351,0.966650,0.969660,0.968216,0.971574,0.973832,0.969192,0.974191,0.970496,0.972571,0.969868,0.969072,0.000000,0.975795,0.974164,0.973612,0.974739,0.963553,0.970655,0.966778
14,0.978666,0.967534,0.971535,0.969241,0.970390,0.976008,0.966780,0.973999,0.970528,0.972992,0.967957,0.967088,0.975795,0.000000,0.971991,0.972679,0.971916,0.965351,0.969410,0.970070
15,0.971228,0.962449,0.965417,0.965188,0.967463,0.967188,0.964724,0.969822,0.967648,0.967626,0.966399,0.966107,0.974164,0.971991,0.000000,0.970995,0.968386,0.961593,0.967037,0.964306
16,0.977966,0.965640,0.969351,0.963033,0.969992,0.973584,0.965954,0.972921,0.970258,0.977819,0.976730,0.965073,0.973612,0.972679,0.970995,0.000000,0.970516,0.963064,0.971673,0.969198
17,0.976062,0.970068,0.970687,0.964947,0.973149,0.976342,0.969474,0.971584,0.970676,0.975678,0.969621,0.963019,0.974739,0.971916,0.968386,0.970516,0.000000,0.961126,0.969098,0.966079
18,0.966871,0.961406,0.964074,0.959727,0.961439,0.964289,0.960216,0.960203,0.962425,0.961414,0.958878,0.962823,0.963553,0.965351,0.961593,0.963064,0.961126,0.000000,0.962670,0.959831
19,0.975514,0.964032,0.967233,0.963840,0.971087,0.970257,0.966337,0.969074,0.970567,0.969387,0.967709,0.962365,0.970655,0.969410,0.967037,0.971673,0.969098,0.962670,0.000000,0.968913
20,0.973508,0.961929,0.965105,0.961927,0.966505,0.972255,0.963630,0.971426,0.965900,0.969923,0.966774,0.959665,0.966778,0.970070,0.964306,0.969198,0.966079,0.959831,0.968913,0.000000
