task,n_seen,A_sep,A_route,R_route,A_merge_acmap,A_merge_tid,A_merge_fresh,LMC_0,LMC_25,LMC_50,LMC_75,LMC_100,LMC_barrier,overlap_avg_cum,cos_flat_avg_cum,norm_task,norm_merged
1,5,99.0,99.0,100.0,99.19999694824219,99.2,99.2,nan,nan,nan,nan,nan,nan,nan,nan,15.578153538273629,15.578153538273629
2,10,99.4,99.0,99.6,98.4000015258789,99.2,98.0,0.984,0.992,0.992,0.992,0.994,0.0,0.9992615679899851,0.9695423245429993,15.048323493735849,15.19622506304282
3,15,99.2,97.0,97.6,98.0,99.2,97.6,0.986,0.988,0.992,0.992,0.992,0.0,0.9994848544398944,0.9686220288276672,14.97240095888249,15.041613539167441
4,20,98.8,95.0,95.19999999999999,96.0,97.39999999999999,95.8,0.978,0.978,0.976,0.986,0.988,7.00000000000145e-05,0.9995308650864495,0.9657386541366577,15.018774854240046,14.967912024316224
5,25,100.0,97.6,97.6,98.19999694824219,99.6,98.2,0.996,0.998,0.998,0.998,1.0,1.0000000000065512e-05,0.9996646059056123,0.9696588218212128,14.943779661380573,14.919474018681871
6,30,99.6,97.6,97.8,97.19999694824219,99.6,95.8,0.996,0.996,0.996,0.996,0.996,0.0,0.999720721443494,0.9731627345085144,14.879965300235362,14.883473361530719
7,35,98.0,84.0,85.2,90.0,96.6,89.2,0.962,0.966,0.972,0.986,0.98,5.000000000032756e-06,0.9996553336580595,0.9679827888806661,14.978173178433881,14.860988596642535
8,40,99.8,97.2,97.39999999999999,96.0,99.4,95.39999999999999,0.992,0.994,0.996,0.996,0.998,5.000000000032756e-06,0.9996958814916156,0.9702070696013314,14.923829933465736,14.841454080289642
9,45,99.6,92.2,92.4,92.5999984741211,99.8,90.60000000000001,0.996,1.0,1.0,0.998,0.996,0.0,0.9996825425575178,0.968590646982193,14.999039783609904,14.831953336562895
10,50,99.8,95.8,95.8,92.5999984741211,99.8,92.0,0.996,0.996,0.998,0.998,0.998,5.000000000032756e-06,0.999745222153487,0.9719400472111173,14.888331377129498,14.818120398779977
11,55,99.6,89.0,89.2,87.19999694824219,98.0,85.0,0.978,0.982,0.988,0.998,0.998,9.99999999995449e-06,0.9996550018588701,0.96872279047966,14.989850657375898,14.818120398779977
12,60,98.8,87.0,87.8,92.4000015258789,97.6,92.0,0.976,0.98,0.984,0.986,0.986,0.0,0.9995917935263027,0.9630388834259727,14.999814857487193,14.818120398779977
13,65,99.8,93.8,93.8,90.80000305175781,99.0,90.2,0.994,0.996,0.996,0.998,0.998,0.0,0.9997337750262685,0.9711394309997559,14.867047858200086,14.818120398779977
14,70,100.0,95.8,95.8,95.80000305175781,100.0,94.8,1.0,1.0,1.0,1.0,1.0,0.0,0.9997511693300345,0.9714241348780118,14.878281808037409,14.818120398779977
15,75,99.4,89.2,89.2,86.0,99.4,85.6,0.992,0.994,0.996,0.994,0.994,0.0,0.9997161222355706,0.9676723480224609,14.993612535792652,14.818120398779977
16,80,99.6,83.39999999999999,83.39999999999999,79.5999984741211,98.8,79.0,0.988,0.988,0.992,0.994,0.996,2.0000000000020002e-05,0.9997405131657918,0.9710402846336365,14.928195977892033,14.818120398779977
17,85,99.6,88.8,88.8,91.79999542236328,99.4,91.2,0.994,0.992,0.994,0.994,0.994,1.999999999990898e-05,0.9997551990672946,0.9710539728403091,14.93010730230815,14.818120398779977
18,90,98.2,79.60000000000001,79.80000000000001,88.20000457763672,94.8,87.0,0.954,0.968,0.972,0.974,0.982,1.0000000000065512e-05,0.999605213602384,0.962261841577642,15.02124215210591,14.818120398779977
19,95,99.2,91.2,91.4,95.80000305175781,99.4,95.39999999999999,0.994,0.994,0.992,0.994,0.992,9.99999999995449e-06,0.9997100863191817,0.9682190914948782,14.986714325898847,14.818120398779977
20,100,98.2,80.0,80.80000000000001,84.19999694824219,97.0,84.0,0.976,0.974,0.98,0.982,0.984,4.0000000000040004e-05,0.9997015480409588,0.9665116165813646,14.994153510971831,14.818120398779977
