task,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0.000000,0.999262,0.999289,0.999251,0.999403,0.999571,0.999282,0.999434,0.999297,0.999575,0.999299,0.999235,0.999523,0.999591,0.999349,0.999471,0.999517,0.999273,0.999344,0.999377
2,0.999262,0.000000,0.999680,0.999623,0.999723,0.999708,0.999663,0.999644,0.999670,0.999672,0.999650,0.999581,0.999684,0.999675,0.999670,0.999710,0.999703,0.999609,0.999687,0.999666
3,0.999289,0.999680,0.000000,0.999719,0.999809,0.999798,0.999751,0.999774,0.999766,0.999765,0.999703,0.999666,0.999749,0.999764,0.999776,0.999769,0.999774,0.999660,0.999752,0.999727
4,0.999251,0.999623,0.999719,0.000000,0.999724,0.999713,0.999697,0.999679,0.999691,0.999685,0.999606,0.999704,0.999725,0.999716,0.999723,0.999669,0.999679,0.999667,0.999717,0.999681
5,0.999403,0.999723,0.999809,0.999724,0.000000,0.999814,0.999795,0.999790,0.999771,0.999797,0.999727,0.999679,0.999785,0.999797,0.999780,0.999788,0.999808,0.999659,0.999784,0.999756
6,0.999571,0.999708,0.999798,0.999713,0.999814,0.000000,0.999745,0.999833,0.999777,0.999877,0.999730,0.999640,0.999838,0.999858,0.999785,0.999814,0.999849,0.999641,0.999760,0.999788
7,0.999282,0.999663,0.999751,0.999697,0.999795,0.999745,0.000000,0.999717,0.999717,0.999721,0.999688,0.999633,0.999747,0.999720,0.999717,0.999731,0.999733,0.999603,0.999729,0.999685
8,0.999434,0.999644,0.999774,0.999679,0.999790,0.999833,0.999717,0.000000,0.999772,0.999835,0.999688,0.999616,0.999797,0.999820,0.999779,0.999778,0.999807,0.999571,0.999735,0.999755
9,0.999297,0.999670,0.999766,0.999691,0.999771,0.999777,0.999717,0.999772,0.000000,0.999780,0.999722,0.999609,0.999746,0.999761,0.999751,0.999739,0.999761,0.999618,0.999738,0.999731
10,0.999575,0.999672,0.999765,0.999685,0.999797,0.999877,0.999721,0.999835,0.999780,0.000000,0.999736,0.999621,0.999826,0.999860,0.999763,0.999823,0.999841,0.999610,0.999757,0.999774
11,0.999299,0.999650,0.999703,0.999606,0.999727,0.999730,0.999688,0.999688,0.999722,0.999736,0.000000,0.999527,0.999699,0.999691,0.999706,0.999778,0.999725,0.999569,0.999691,0.999675
12,0.999235,0.999581,0.999666,0.999704,0.999679,0.999640,0.999633,0.999616,0.999609,0.999621,0.999527,0.000000,0.999688,0.999671,0.999660,0.999646,0.999624,0.999622,0.999647,0.999620
13,0.999523,0.999684,0.999749,0.999725,0.999785,0.999838,0.999747,0.999797,0.999746,0.999826,0.999699,0.999688,0.000000,0.999841,0.999787,0.999801,0.999842,0.999654,0.999766,0.999736
14,0.999591,0.999675,0.999764,0.999716,0.999797,0.999858,0.999720,0.999820,0.999761,0.999860,0.999691,0.999671,0.999841,0.000000,0.999779,0.999806,0.999834,0.999643,0.999741,0.999767
15,0.999349,0.999670,0.999776,0.999723,0.999780,0.999785,0.999717,0.999779,0.999751,0.999763,0.999706,0.999660,0.999787,0.999779,0.000000,0.999784,0.999781,0.999631,0.999728,0.999722
16,0.999471,0.999710,0.999769,0.999669,0.999788,0.999814,0.999731,0.999778,0.999739,0.999823,0.999778,0.999646,0.999801,0.999806,0.999784,0.000000,0.999806,0.999625,0.999766,0.999747
17,0.999517,0.999703,0.999774,0.999679,0.999808,0.999849,0.999733,0.999807,0.999761,0.999841,0.999725,0.999624,0.999842,0.999834,0.999781,0.999806,0.000000,0.999633,0.999772,0.999757
18,0.999273,0.999609,0.999660,0.999667,0.999659,0.999641,0.999603,0.999571,0.999618,0.999610,0.999569,0.999622,0.999654,0.999643,0.999631,0.999625,0.999633,0.000000,0.999667,0.999611
19,0.999344,0.999687,0.999752,0.999717,0.999784,0.999760,0.999729,0.999735,0.999738,0.999757,0.999691,0.999647,0.999766,0.999741,0.999728,0.999766,0.999772,0.999667,0.000000,0.999755
20,0.999377,0.999666,0.999727,0.999681,0.999756,0.999788,0.999685,0.999755,0.999731,0.999774,0.999675,0.999620,0.999736,0.999767,0.999722,0.999747,0.999757,0.999611,0.999755,0.000000
