task,1,2,3,4,5,6,7,8,9,10
1,0.000000,0.574342,0.565347,0.583417,0.577866,0.578804,0.583004,0.568404,0.565532,0.580384
2,0.574342,0.000000,0.566510,0.544539,0.553123,0.568991,0.555129,0.592813,0.537227,0.565151
3,0.565347,0.566510,0.000000,0.530684,0.519393,0.543526,0.546485,0.552518,0.529341,0.540959
4,0.583417,0.544539,0.530684,0.000000,0.546163,0.557535,0.557504,0.544753,0.539612,0.552483
5,0.577866,0.553123,0.519393,0.546163,0.000000,0.539417,0.552422,0.540282,0.513563,0.543165
6,0.578804,0.568991,0.543526,0.557535,0.539417,0.000000,0.522205,0.560474,0.526763,0.559590
7,0.583004,0.555129,0.546485,0.557504,0.552422,0.522205,0.000000,0.571594,0.529618,0.551172
8,0.568404,0.592813,0.552518,0.544753,0.540282,0.560474,0.571594,0.000000,0.553855,0.550057
9,0.565532,0.537227,0.529341,0.539612,0.513563,0.526763,0.529618,0.553855,0.000000,0.536565
10,0.580384,0.565151,0.540959,0.552483,0.543165,0.559590,0.551172,0.550057,0.536565,0.000000
