task,n_seen,A_sep,A_route,R_route,A_merge_acmap,A_merge_tid,A_merge_fresh,LMC_0,LMC_25,LMC_50,LMC_75,LMC_100,LMC_barrier,overlap_avg_cum,cos_flat_avg_cum,norm_task,norm_merged
1,20,93.22033898305084,93.22033898305084,100.0,93.36157989501953,93.36158192090396,93.36158192090396,nan,nan,nan,nan,nan,nan,nan,nan,7.153762174740033,7.153762174740033
2,40,90.41731066460588,87.63523956723338,93.81761978361669,88.40803527832031,90.88098918083463,86.70788253477589,0.8562596599690881,0.8902627511591963,0.9026275115919629,0.9041731066460588,0.9057187017001546,0.0,0.26787617554267246,0.5743421912193298,7.0133437093717825,6.284800377378623
3,60,88.08724832214764,81.87919463087249,88.25503355704699,81.71141052246094,86.57718120805369,79.53020134228188,0.8322147651006712,0.8590604026845637,0.8657718120805369,0.8808724832214765,0.8758389261744967,0.0,0.3087462801486254,0.5659285187721252,7.337708362836205,6.050682503532762
4,80,91.8825561312608,82.21070811744386,84.6286701208981,83.07426452636719,89.46459412780656,80.31088082901555,0.8773747841105354,0.8929188255613126,0.917098445595855,0.9222797927461139,0.9205526770293609,0.0,0.32145994653304416,0.552880048751831,7.286511338133543,5.893931201947397
5,100,88.17005545286506,79.29759704251387,82.80961182994456,79.85212707519531,87.8003696857671,78.00369685767097,0.8280961182994455,0.8576709796672828,0.8761552680221811,0.8761552680221811,0.8853974121996303,0.0,0.3296802357460062,0.5491362661123276,7.216760465658911,5.7827430093598
6,120,89.43452380952381,75.59523809523809,79.31547619047619,76.93452453613281,87.20238095238095,75.0,0.8586309523809523,0.8735119047619048,0.8883928571428571,0.8928571428571429,0.8943452380952381,0.0,0.3217758521437645,0.5576547384262085,7.258531628709891,5.725467680307696
7,140,89.78102189781022,77.1897810218978,80.1094890510949,80.2919692993164,88.32116788321169,78.28467153284672,0.8357664233576643,0.8722627737226277,0.885036496350365,0.8941605839416058,0.8996350364963503,0.0,0.33273897009591263,0.5527912875016531,7.145374493143265,5.665706053101759
8,160,94.15041782729804,80.36211699164345,81.75487465181058,78.830078125,89.83286908077994,77.43732590529248,0.8551532033426184,0.8885793871866295,0.9025069637883009,0.9331476323119777,0.9428969359331476,0.0,0.32425910074795994,0.5615482330322266,7.310423360884844,5.645944252218848
9,180,91.49797570850203,75.91093117408907,77.53036437246963,74.29149627685547,87.04453441295547,72.8744939271255,0.840080971659919,0.8744939271255061,0.888663967611336,0.902834008097166,0.9109311740890689,0.0,0.33877630578354,0.5369387045502663,7.306863932476459,5.606889609084331
10,200,92.05526770293609,76.3385146804836,77.2020725388601,78.23834228515625,89.81001727115718,76.51122625215889,0.8825561312607945,0.9015544041450777,0.9119170984455959,0.918825561312608,0.9153713298791019,0.0,0.33705449711393426,0.5532804992463853,7.241687086096035,5.585568516730032
