task,baseline,oracle,geometry,A_tid,oracle_rec%,geometry_rec%,union1_acc,union1_cov%,union1_rec%,union2_acc,union2_cov%,union2_rec%,union3_acc,union3_cov%,union3_rec%,union4_acc,union4_cov%,union4_rec%,union5_acc,union5_cov%,union5_rec%
1,77.26,77.82,77.26,89.69,4.5,0.0,77.26,78.5,0.0,77.26,88.1,0.0,77.26,90.5,0.0,77.26,91.4,0.0,77.26,93.5,0.0
2,74.50,75.43,74.50,87.94,6.9,0.0,74.50,76.4,0.0,74.50,83.5,0.0,74.50,86.7,0.0,74.50,88.4,0.0,74.50,89.5,0.0
3,69.46,70.30,69.46,84.73,5.5,0.0,69.46,72.8,0.0,69.46,82.2,0.0,69.46,87.6,0.0,69.46,90.6,0.0,69.46,92.8,0.0
4,75.30,74.78,75.30,88.77,-3.8,0.0,75.30,76.7,0.0,75.30,84.1,0.0,75.30,86.7,0.0,75.30,89.3,0.0,75.30,91.0,0.0
5,72.09,73.94,72.09,87.06,12.3,0.0,72.09,74.3,0.0,72.09,83.4,0.0,72.09,87.2,0.0,72.09,90.6,0.0,72.09,92.1,0.0
6,70.68,73.36,70.68,86.61,16.8,0.0,70.68,73.7,0.0,70.68,82.3,0.0,70.68,86.6,0.0,70.68,89.4,0.0,70.68,90.2,0.0
7,76.09,75.18,76.09,88.14,-7.6,0.0,76.09,79.0,0.0,76.09,85.4,0.0,76.09,90.1,0.0,76.09,92.0,0.0,76.09,94.2,0.0
8,74.93,77.16,74.93,89.14,15.7,0.0,74.93,77.3,0.0,74.93,87.6,0.0,74.93,90.4,0.0,74.93,92.5,0.0,74.93,94.2,0.0
9,72.27,72.27,72.27,87.25,0.0,0.0,72.27,76.5,0.0,72.27,86.0,0.0,72.27,89.9,0.0,72.27,92.5,0.0,72.27,93.9,0.0
10,76.68,77.72,76.68,89.81,7.9,0.0,76.68,77.9,0.0,76.68,84.1,0.0,76.68,90.5,0.0,76.68,92.2,0.0,76.68,94.0,0.0
