task,1,2,3,4,5,6,7,8,9,10
1,0.000000,0.267876,0.274374,0.281177,0.289172,0.259918,0.287442,0.256617,0.311629,0.285796
2,0.267876,0.000000,0.343118,0.340258,0.340310,0.338343,0.340916,0.336939,0.341999,0.342151
3,0.274374,0.343118,0.000000,0.342945,0.344693,0.337554,0.343752,0.334939,0.344506,0.345327
4,0.281177,0.340258,0.342945,0.000000,0.344546,0.338022,0.343066,0.334993,0.346834,0.345060
5,0.289172,0.340310,0.344693,0.344546,0.000000,0.335042,0.344469,0.334801,0.348154,0.346135
6,0.259918,0.338343,0.337554,0.338022,0.335042,0.000000,0.336787,0.334793,0.333205,0.339979
7,0.287442,0.340916,0.343752,0.343066,0.344469,0.336787,0.000000,0.336732,0.348792,0.344833
8,0.256617,0.336939,0.334939,0.334993,0.334801,0.334793,0.336732,0.000000,0.335091,0.335975
9,0.311629,0.341999,0.344506,0.346834,0.348154,0.333205,0.348792,0.335091,0.000000,0.348235
10,0.285796,0.342151,0.345327,0.345060,0.346135,0.339979,0.344833,0.335975,0.348235,0.000000
